Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
112,793.9385127708791,793.9385127708791,913.9743101872642,798.1168321954981,880.0080671118787,798.1168321954981,798.1168321954981,885.1164138995149,798.1168321954981,798.1168321954981,798.1192283071966,798.1192283071966,945.9091768750887,800.0403725885077,800.0403725885077,800.0403725885077,800.0403725885077,800.0403725885077,935.6158092437927,800.0403725885077,805.4647174492555,804.6411696685402,875.4214908485807,1008.0172144007336,804.6411696685402,950.132417392478,948.2319497683528,926.8037495347456,857.780762779617,985.4192704347078,1017.3286743992305,899.0400365838544,920.075702949336,937.6121520107823,1069.2332202607115,867.5619016025996,1017.3286743992305,836.1087005478369,994.8671407932181,1027.3567921795666
113,803.8048626329476,801.2012315122946,923.9913609407141,805.1258999392292,891.331007508465,805.1258999392292,805.2155417706426,894.5380063623777,805.2155417706426,805.2155417706426,805.2155417706426,805.2155417706426,958.2645384112956,807.8264015342754,808.1761856786792,808.1761856786792,808.1761856786792,808.1761856786792,946.2534585714833,808.1761856786792,812.1634477937546,812.1349676829602,885.7498719394961,1019.5784207928026,812.1349676829602,961.8869774354021,958.2645384112956,935.7378066183392,865.8518230772378,995.0104970890836,1027.614095730983,910.505625715347,930.1577097916445,946.6678941086425,1083.253673588687,876.4635041130622,1027.614095730983,836.1087005478369,1003.1820294873471,1035.7300508139117
114,811.7746889918038,810.6427658761347,934.8431659236182,811.7746889918038,900.0409616596851,811.7746889918038,811.7746889918038,906.3149969409562,811.7746889918038,811.7746889918038,811.7746889918038,812.9032146893758,968.3267364470132,814.6324252991502,814.6324252991502,814.6324252991502,815.0053818488582,817.6679676172126,952.8466742810398,817.6679676172126,820.5908876081089,820.5908876081089,896.0782530304115,1030.250303616251,820.5908876081089,971.9623146150512,968.2971270542383,946.0463340224856,872.4554178662003,1005.2868113616291,1037.042398618423,917.8763615855922,941.0798838708121,952.8466742810398,1096.2726659646642,883.9956293142228,1037.042398618423,836.1087005478369,1011.4969181814761,1044.1033094482568
115,818.7083241582291,817.1792127434087,947.3644793654306,818.7083241582291,908.7509158109052,818.7083241582291,818.7083241582291,917.4608699621253,818.7083241582291,818.7083241582291,820.7189806570236,818.7083241582291,979.2274509857073,822.5933775935015,822.5933775935015,822.5933775935015,822.5933775935015,823.7698274348412,962.6660428912157,823.7698274348412,828.6293640215077,829.2570497693387,905.6121432681795,1040.9221864396993,829.2570497693387,982.8772632263378,979.1014532850998,956.3548614266319,881.2602109181502,1014.878038016005,1048.1849383944884,926.0660681080869,951.1618907131206,963.4117067285433,1108.2901973886433,890.8430158607325,1048.1849383944884,836.1087005478369,1020.5677058477986,1054.9885456729055
116,825.804637621675,825.1682033589657,955.7120216599722,825.804637621675,920.0738562074914,825.804637621675,825.804637621675,929.2378605407039,825.804637621675,825.804637621675,829.0669862112287,825.804637621675,990.1281655244013,829.8716872524698,829.8716872524698,829.8716872524698,829.8716872524698,829.8716872524698,971.7128036515818,829.8716872524698,835.9735470700983,835.9735470700983,914.3515426528002,1053.3727164003892,835.9735470700983,993.7922118376244,989.1340419280425,963.2272130293962,887.8638057071126,1023.0990894340414,1059.3274781705538,934.2557746305816,962.0840647922881,971.7128036515818,1121.3091897646204,899.0598797165442,1059.3274781705538,836.1087005478369,1028.126695569734,1063.3618043072506
117,831.5396926833574,831.5396926833574,964.8943181839679,831.5396926833574,930.5258011889556,831.5396926833574,831.5396926833574,937.0891875930896,831.5396926833574,833.4923105404082,835.0298473213752,833.4923105404082,1000.190363560119,836.7008834226488,836.7008834226488,836.7008834226488,836.7008834226488,837.2747477450398,981.5321722617578,837.2747477450398,842.1636628995482,842.1636628995482,924.6799237437156,1064.9339227924584,842.1636628995482,1004.707160448911,997.6231553951478,970.7867997924369,897.4023315133918,1033.375403706587,1072.7680694513303,941.6265105008268,973.0062388714557,983.7871264487287,1133.3267211885995,907.9614822270067,1069.6128995023064,836.1087005478369,1037.1974832360565,1074.2470405318993
118,838.5487604270885,838.5487604270885,977.4156316257803,838.5487604270885,940.9777461704198,838.5487604270885,838.9502949725712,944.1553819402367,838.9502949725712,841.1492254689272,843.1571230431198,841.1799834591413,1010.2525615958366,843.1571230431198,843.1571230431198,843.1571230431198,844.2888791672921,845.5578281708196,991.3515408719337,845.5578281708196,848.1925202095973,849.591801894888,934.2138139814836,1077.3844527531483,849.591801894888,1016.4617204918351,1006.8840064501719,980.4080920363069,904.7396590566834,1041.5964551246234,1084.2949508931135,951.2215762873838,983.9284129506233,992.0882233717672,1145.3442526125787,915.4936074281674,1080.7554392783718,836.1087005478369,1047.0241698745726,1084.2949508931135
119,845.811479168504,845.811479168504,989.1021908381385,847.6605484939389,950.5586957367619,847.6605484939389,848.5840779485491,952.0067089926224,848.5840779485491,848.8061403974461,849.716270264281,848.8676563778745,1021.1532761345306,850.2589866256379,850.2589866256379,850.2589866256379,851.8768749119354,852.3376724126291,1000.3893202948057,852.3376724126291,854.8912505540964,856.2754174854422,942.9532133661043,1088.9456591452174,856.2754174854422,1026.5370576714843,1016.9165950931147,990.7166194404533,911.3432538456459,1051.872769397169,1095.1801871177622,959.8580360450081,994.8505870297909,1000.3893202948057,1159.3647059405541,924.3952099386299,1091.8979790544372,836.1087005478369,1056.8508565130887,1095.1801871177622
120,854.9188790411825,855.1569161716934,999.1192415915884,855.1569161716934,959.2686498879821,855.1949174543248,855.1949174543248,959.8580360450081,855.9639698413205,855.9639698413205,856.2754174854422,855.9639698413205,1032.0539906732247,857.3608502081561,857.3608502081561,857.3608502081561,860.223670231043,860.9262941166587,1010.1997075674875,861.8057569601006,861.8057569601006,862.8345647066034,953.2815944570197,1100.5068655372866,862.8345647066034,1038.2916177144082,1027.720921323976,1001.0251468445997,919.4143141432667,1060.7789084333751,1103.5534457521073,970.5046545242512,1004.0924266352403,1010.1997075674875,1171.3822373645332,931.9273351397906,1102.1834003861898,836.1087005478369,1065.1657452072177,1103.5534457521073
121,861.6933630389674,861.6933630389674,1009.2719687679169,862.2039851980559,966.9242303921552,862.2039851980559,862.8345647066034,966.9242303921552,862.8345647066034,862.8345647066034,862.8345647066034,863.0602833047665,1042.1161887089422,863.8170898286271,863.8170898286271,863.8170898286271,868.2298099062414,868.2298099062414,1019.2554496653477,868.5856012019101,869.2130529417869,869.3937119277646,962.8154846947876,1110.7545848293169,869.3937119277646,1048.3669548940572,1036.2100347910814,1009.2719687679169,928.9528399495458,1068.9999598514116,1111.9267043864525,981.9702436557438,1013.3342662406897,1019.2554496653477,1184.4012297405104,939.4594603409512,1110.7545848293169,836.1087005478369,1074.9924318457338,1111.9267043864525
122,870.2451669958172,870.2451669958172,1017.6195110624584,870.2451669958172,975.6341845433753,870.2451669958172,870.2451669958172,976.345822855018,870.2451669958172,870.2733294490981,870.2733294490981,870.2733294490981,1053.0169032476363,870.2733294490981,870.2733294490981,870.2733294490981,875.3654454437196,875.3654454437196,1029.0658369380296,875.3654454437196,876.7295690695692,876.7295690695692,972.3493749325556,1120.1828877167568,876.7295690695692,1060.1215149369812,1047.0143610219427,1019.5804961720632,937.0239002471666,1079.2762741239571,1120.2999630207976,990.978920830488,1024.2564403198571,1029.0658369380296,1197.4202221164876,946.3068468874609,1120.1828877167568,836.1087005478369,1085.5750174564434,1120.2999630207976
123,876.2361905592446,876.2361905592446,1028.4713160453625,876.2361905592446,983.4120172021651,876.2361905592446,876.2361905592446,983.4120172021651,876.2361905592446,876.2361905592446,876.2361905592446,877.9610023678313,1063.0791012833538,882.7309757623264,879.3120649177575,879.3120649177575,882.1990516693911,882.1990516693911,1038.12157903589,882.1990516693911,884.0981724485181,884.776719647854,980.294283464029,1128.754072159884,884.776719647854,1071.0364635482676,1056.2752120769667,1030.5762587364861,944.3612277904582,1087.4973255419936,1130.3478733820118,999.9875980052323,1034.3384471621655,1038.12157903589,1210.4392144924648,954.5237107432725,1128.754072159884,836.1087005478369,1093.8899061505724,1130.3478733820118
