Time,0,1,2,3,4,5,6,7
141,974.5332691622107,1126.938608661886,1399.5324431216916,1652.0888207129392,1238.6310772571749,1449.2899512634126,906.1255555555575,1399.5324431216916
142,981.3113765102004,1140.3267188769398,1408.8098968253953,1661,1249.5633441023333,1464.3488699203874,912.6444444444464,1408.8098968253953
143,988.6083046147755,1156.4852737156496,1418.7914841269826,1661,1259.1073357727184,1481.6497317114174,918.3507962467835,1418.7914841269826
144,996.4286761735,1168.222379629628,1431.4873419312155,1661,1270.1996650899875,1497.9542918656973,925.4437192018241,1431.4873419312155
145,1003.7949447415333,1183.6585685185169,1447.5701959207756,1661,1279.8823775695353,1512.158579261237,933.0540281243831,1442.2228128306863
146,1011.6892794612797,1195.5297514934273,1463.7375778745416,1661,1289.6344504536644,1530.8297524798495,938.4783014458329,1454.349967592591
147,1019.1248884927711,1212.0595966547176,1481.343813619011,1661,1299.4558837423747,1551.805203797656,944.4112456427036,1463.8208935185169
148,1026.5951677559915,1224.9883382317785,1499.041621324703,1661,1309.3466774356664,1572.8883246007022,951.3223136759775,1476.0475482804216
149,1034.600447217271,1240.7751902031046,1519.5678286326822,1661,1320.839162933212,1589.6178958809276,956.9034586551813,1485.5958630952364
150,1041.6374256288377,1254.7821176224593,1536.0733224432713,1661,1332.4116796668131,1604.1905262522869,963.4758001089345,1497.922017857141
151,1049.7166682511393,1266.9884932496993,1558.1933514763311,1661,1344.0642276364695,1618.8368252188102,969.6353367003388,1510.297922619046
152,1057.8328924539517,1283.9824513142155,1574.8679012153318,1661,1354.2324629480863,1634.6890979775503,977.7641936026957,1519.9623207671941
153,1064.9669475143596,1299.170700776581,1594.4201585357396,1661,1366.0450733898533,1649.4827341344014,984.5195519904953,1533.130803571427
154,1072.6452481679544,1313.4870367980864,1612.6673980087696,1661,1377.9377150676758,1661,992.3096823133316,1544.9601164021146
155,1080.8724171123,1329.7998833930685,1632.4168872456576,1661,1389.9103879815534,1661,998.6958112992694,1555.4392037037019
156,1088.6200582293527,1347.1651317801652,1650.8472706411335,1661,1400.3560649114954,1661,1004.6429901465659,1565.9597493386225
157,1096.4023695781345,1363.653309916366,1661,1661,1410.8711022460186,1661,1012.1423268964173,1577.22588690476
158,1104.2193511586456,1379.254104181599,1661,1661,1423.8980533095319,1661,1019.7070268369996,1589.950041666665
159,1111.5475595167363,1392.9769945041796,1661,1661,1436.1908511676309,1661,1026.8284190928919,1599.8853009259242
160,1123.3096744701925,1407.7574434289108,1661,1661,1446.913969715898,1661,1033.4977885719966,1609.859254629628
161,1133.6338839374137,1421.624724432495,1661,1661,1458.536639357427,1661,1041.7759640522897,1621.3022810846544
162,1145.4699620518918,1439.5469083034627,1661,1661,1470.2340048192743,1661,1049.6021167557954,1632.071576719575
163,1157.3430217468808,1453.5585799880505,1661,1661,1481.1652045812853,1661,1056.967531590416,1644.323764550263
164,1167.7643078629435,1468.6484375149323,1661,1661,1492.1657647478776,1661,1065.4548692810479,1653.7290152116386
165,1178.964641790454,1485.8379418160075,1661,1661,1504.9387500223086,1661,1071.8726631016063,1661
166,1190.1996459496934,1502.0988077658283,1661,1661,1516.0780309980635,1661,1079.4210948702735,1661
167,1201.4693203406619,1516.3992608124233,1661,1661,1529.873281927708,1661,1086.487001039812,1661
168,1212.020041988513,1530.77190919952,1661,1661,1542.886360910305,1661,1095.8011104674215,1661
169,1224.114991166568,1546.24852747909,1661,1661,1554.2337230998037,1661,1102.4280664983187,1661
170,1234.7304305803132,1561.8024979091974,1661,1661,1568.2850739848252,1661,1109.6639169637574,1661
171,1245.3782288770055,1580.5600850059716,1661,1661,1579.7711569834864,1661,1119.0671527332167,1661
172,1256.8212544266194,1595.2215147550755,1661,1661,1593.9932411720927,1661,1130.8865606357717,1661
173,1269.0641299267184,1613.1123452210254,1661,1661,1607.4064763349663,1661,1144.355967874829,1661
174,1280.5764959397902,1631.0908414575845,1661,1661,1620.8997427338954,1661,1157.8994533967145,1661
175,1292.123532184591,1644.9061418160074,1661,1661,1635.3779268778787,1661,1167.5118513765126,1661
176,1302.933124896019,1659.8563529271185,1661,1661,1648.1210338241824,1661,1178.787321330959,1661
177,1315.323926718162,1661,1661,1661,1661,1661,1190.1237969300876,1661
178,1326.9749736581502,1661,1661,1661,1661,1661,1200.7071723707688,1661
179,1339.4397386413152,1661,1661,1661,1661,1661,1212.1656592592617,1661
180,1351.941485204991,1661,1661,1661,1661,1661,1222.039510001983,1661
181,1363.6965428401663,1661,1661,1661,1661,1661,1234.4471866211154,1661
182,1375.4862707070706,1661,1661,1661,1661,1661,1246.9202264309788,1661
183,1386.5223755991285,1661,1661,1661,1661,1661,1259.458629431573,1661
184,1397.5908393741333,1661,1661,1661,1661,1661,1271.2221445434764,1661
185,1410.2774938403643,1661,1661,1661,1661,1661,1281.357448049121,1661
186,1421.4106753812634,1661,1661,1661,1661,1661,1291.5450421073506,1661
187,1433.373754406813,1661,1661,1661,1661,1661,1302.6382504357325,1661
188,1444.5716537136066,1661,1661,1661,1661,1661,1316.3611506535974,1661
189,1455.801911903347,1661,1661,1661,1661,1661,1327.567655179246,1661
190,1467.0645289760346,1661,1661,1661,1661,1661,1340.563600514956,1661
191,1478.3595049316693,1661,1661,1661,1661,1661,1353.624909041397,1661
192,1490.4959351158643,1661,1661,1661,1661,1661,1367.62669220638,1661
193,1502.6670355317883,1661,1661,1661,1661,1661,1379.9392581204224,1661
194,1515.6865242226181,1661,1661,1661,1661,1661,1392.312829679147,1661
195,1528.742994493959,1661,1661,1661,1661,1661,1403.859222796596,1661
196,1541.01810560507,1661,1661,1661,1661,1661,1419.0324305407037,1661
197,1554.148539037433,1661,1661,1661,1661,1661,1431.5890190334746,1661
198,1566.4929906120021,1661,1661,1661,1661,1661,1445.1078698950314,1661
199,1579.697387205387,1661,1661,1661,1661,1661,1456.880855407014,1661
200,1592.9387653792828,1661,1661,1661,1661,1661,1472.3503762824348,1661
201,1606.2171251336897,1661,1661,1661,1661,1661,1485.1509873539342,1661
202,1618.7002576351751,1661,1661,1661,1661,1661,1496.1752302535183,1661
203,1631.2180603683896,1661,1661,1661,1661,1661,1510.9439415230765,1661
204,1644.6073648643294,1661,1661,1661,1661,1661,1525.7823735294144,1661
205,1657.194508061002,1661,1661,1661,1661,1661,1540.6905262725318,1661
206,1661,1661,1661,1661,1661,1661,1552.8600484749481,1661
207,1661,1661,1661,1661,1661,1661,1566.9671680530826,1661
208,1661,1661,1661,1661,1661,1661,1581.1396508219477,1661
209,1661,1661,1661,1661,1661,1661,1593.4791173202643,1661
210,1661,1661,1661,1661,1661,1661,1607.7823264705912,1661
211,1661,1661,1661,1661,1661,1661,1623.108803634386,1661
212,1661,1661,1661,1661,1661,1661,1636.5804767973887,1661
213,1661,1661,1661,1661,1661,1661,1651.079775519908,1661
214,1661,1661,1661,1661,1661,1661,1661,1661
